貨品分類1,貨品分類2,貨品分類3,貨品編號,品牌,貨品名稱,超市代號,價格,優惠
麵包蛋糕 / 穀類早餐 / 麵包醬,穀類早餐,粟米片 / 脆片 / 營養麥,P000000927,維他麥,全麥營養早餐 430克,PARKNSHOP,47.50,
麵包蛋糕 / 穀類早餐 / 麵包醬,穀類早餐,粟米片 / 脆片 / 營養麥,P000000927,維他麥,全麥營養早餐 430克,JASONS,43.50,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包醬,花生醬,P000001362,Fifty 50,花生醬 - 幼滑裝 510克,PARKNSHOP,63.00,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包醬,花生醬,P000001467,Fifty 50,花生醬 - 粗粒裝 510克,PARKNSHOP,63.00,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包醬,花生醬,P000003058,Jif,花生醬 - 幼滑裝 454克,PARKNSHOP,36.00,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包醬,花生醬,P000003681,Meadows,花生醬 - 粗粒裝 340克,WELLCOME,20.00,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包醬,花生醬,P000003681,Meadows,花生醬 - 粗粒裝 340克,JASONS,20.00,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包醬,花生醬,P000003682,Meadows,花生醬 - 幼滑裝 340克,WELLCOME,20.00,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包醬,花生醬,P000003682,Meadows,花生醬 - 幼滑裝 340克,JASONS,20.00,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包醬,花生醬,P000004177,Meadows,幼滑花生醬 510GM,WELLCOME,26.00,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包醬,花生醬,P000004177,Meadows,幼滑花生醬 510GM,JASONS,26.00,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包醬,花生醬,P000004178,Meadows,粗粒花生醬 510 克,WELLCOME,26.00,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包醬,花生醬,P000004178,Meadows,粗粒花生醬 510 克,JASONS,26.00,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包醬,花生醬,P000002389,頂好牌,花生醬 - 粗粒裝 462克,PARKNSHOP,33.90,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包醬,果醬,P000001399,Bonne Maman,果醬 - 黃梅 370克,WELLCOME,39.90,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包醬,果醬,P000001399,Bonne Maman,果醬 - 黃梅 370克,PARKNSHOP,38.90,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包醬,果醬,P000001399,Bonne Maman,果醬 - 黃梅 370克,JASONS,39.90,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包醬,果醬,P000003853,Meadows,藍莓果醬 370克,WELLCOME,25.00,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包醬,果醬,P000003853,Meadows,藍莓果醬 370克,JASONS,25.00,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包醬,果醬,P000003680,Meadows,果醬 - 杏桃 370克,WELLCOME,25.00,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包醬,果醬,P000003680,Meadows,果醬 - 杏桃 370克,JASONS,25.00,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包醬,果醬,P000003855,Meadows,士多啤梨果醬 370克,WELLCOME,25.00,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包醬,果醬,P000003855,Meadows,士多啤梨果醬 370克,JASONS,25.00,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包醬,果醬,P000002397,盛美家,果醬 - 藍莓 340克,WELLCOME,36.00,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包醬,果醬,P000002397,盛美家,果醬 - 藍莓 340克,PARKNSHOP,36.00,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包醬,果醬,P000002397,盛美家,果醬 - 藍莓 340克,JASONS,36.00,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包醬,果醬,P000001301,盛美家,果醬 - 士多啤梨 340克,WELLCOME,36.00,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包醬,果醬,P000001301,盛美家,果醬 - 士多啤梨 340克,PARKNSHOP,36.00,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包醬,果醬,P000001301,盛美家,果醬 - 士多啤梨 340克,JASONS,36.00,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包醬,果醬,P000001302,法國聖桃園,果醬 - 天然野生藍莓 284克,WELLCOME,36.00,$58任揀2件
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包醬,果醬,P000001302,法國聖桃園,果醬 - 天然野生藍莓 284克,PARKNSHOP,36.00,買2件慳$14.00
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包醬,果醬,P000001302,法國聖桃園,果醬 - 天然野生藍莓 284克,JASONS,36.00,$58任揀2件
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包醬,吞拿魚醬,P000003523,雄雞標,吞拿魚醬 160克,PARKNSHOP,30.90,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包醬,吞拿魚醬,P000000212,美味牌,沙律味吞拿魚醬 95克,WELLCOME,11.90,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包醬,吞拿魚醬,P000000212,美味牌,沙律味吞拿魚醬 95克,PARKNSHOP,12.90,買2件慳$3.90
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包醬,吞拿魚醬,P000000212,美味牌,沙律味吞拿魚醬 95克,JASONS,11.90,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包醬,榛子醬,P000002796,能多益,榛子果仁醬 350克,WELLCOME,44.00,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包醬,榛子醬,P000002796,能多益,榛子果仁醬 350克,PARKNSHOP,49.90,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包醬,榛子醬,P000002796,能多益,榛子果仁醬 350克,JASONS,44.00,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包醬,榛子醬,P000004179,Meadows,朱古力紐紋花生醬 340 克,WELLCOME,20.00,
麵包蛋糕 / 穀類早餐 / 麵包醬,麵包醬,榛子醬,P000004179,Meadows,朱古力紐紋花生醬 340 克,JASONS,20.00,
